CC,Website,Keytext in URL,Type of page
VN,websosanh.vn,/review/,Article
VN,websosanh.vn,/so-sanh.htm,PDP
VN,websosanh.vn,/chi-tiet.htm,PDP
VN,websosanh.vn,/cat-,Listing
VN,websosanh.vn,/s/,Search
VN,websosanh.vn,/,Homepage
VN,iprice.vn,/trends/,Article
VN,iprice.vn,/gia-ban/,PDP
VN,iprice.vn,/coupons/,Coupons
VN,iprice.vn,/search/,Search
VN,iprice.vn,/,Homepage
VN,www.thegioididong.com,/bao-hanh,Service Center
VN,www.thegioididong.com,/may-doi-tra/,Secondhand
VN,www.thegioididong.com,/tin-tuc,Article
VN,www.thegioididong.com,/sim-so-dep,Simcare
VN,www.thegioididong.com,/hoi-dap,FQA
VN,www.thegioididong.com,vs-,Compare
VN,www.thegioididong.com,/dtdd/,PDP
VN,www.thegioididong.com,dtdd-,Listing
VN,www.thegioididong.com,/,Homepage
ID,www.pricebook.co.id,/shop/,Merchant
ID,www.pricebook.co.id,/article/,Article
ID,www.pricebook.co.id,/forum/,Forum
ID,www.pricebook.co.id,/compare/,Compare
ID,www.pricebook.co.id,/PD_,PDP
ID,www.pricebook.co.id,/,Homepage
ID,iprice.co.id,/trend/,Article
ID,iprice.co.id,/harga/,PDP
ID,iprice.co.id,/coupons/,Coupons
ID,iprice.co.id,/,Homepage
ID,id.priceprice.com,/merchants/,Merchant
ID,id.priceprice.com,/sellers/,Merchant
ID,id.priceprice.com,/forum/,Forum
ID,id.priceprice.com,/news/,Article
ID,id.priceprice.com,/reviews/,PDP-review
ID,id.priceprice.com,/specs/,PDP-specs
ID,id.priceprice.com,/?,Listing
ID,id.priceprice.com,/,Homepage
TH,www.lazada.co.th,.html,PDP
TH,www.lazada.co.th,/shop,Merchant
TH,www.lazada.co.th,/voucher,Voucher
TH,www.lazada.co.th,/catalog/?q=,Search
TH,www.lazada.co.th,/,Homepage
PH,www.lazada.com.ph,.html,PDP
PH,www.lazada.com.ph,/shop,Merchant
PH,www.lazada.com.ph,/voucher,Voucher
PH,www.lazada.com.ph,/catalog/?q=,Search
PH,www.lazada.com.ph,/,Homepage
HK,www.price.com.hk,shop.php,Merchant
HK,www.price.com.hk,/news,Article
HK,www.price.com.hk,&ct=review,PDP-review
HK,www.price.com.hk,&ct=news,PDP-article
HK,www.price.com.hk,&ct=trade,PDP-used
HK,www.price.com.hk,/search.php,Search
HK,www.price.com.hk,/product.php,PDP
HK,www.price.com.hk,/ec-product-detail.php,PDP
HK,www.price.com.hk,/trade_item.php,PDP
HK,www.price.com.hk,/category.php,Listing
HK,www.price.com.hk,/zone.php,Listing
HK,www.price.com.hk,/ec-product-list.php,Listing
HK,www.price.com.hk,/trade_index.php,Listing
HK,www.price.com.hk,/group.php,Listing
HK,www.price.com.hk,/compare.php,Compare
HK,www.price.com.hk,/,Homepage
HK,iprice.hk,/trends,Article
HK,iprice.hk,/compare/,PDP
HK,iprice.hk,/coupons/,Coupons
HK,iprice.hk,/,Homepage
HK,iprice.hk,excluded above,Listing
SG,www.lazada.sg,.html,PDP
SG,www.lazada.sg,/shop,Merchant
SG,www.lazada.sg,/voucher,Voucher
SG,www.lazada.sg,/catalog/?q=,Search
SG,www.lazada.sg,/,Homepage
TH,www.looksi.com,.html,PDP
TH,www.looksi.com,/blog,Article
TH,www.looksi.com,excluded above,Listing
SG,www.zalora.sg,.html,PDP
SG,www.zalora.sg,/,Homepage
SG,www.zalora.sg,excluded above,Listing
PH,www.zalora.com.ph,.html,PDP
PH,www.zalora.com.ph,/,Homepage
PH,www.zalora.com.ph,excluded above,Listing
VN,www.robins.vn,.html,PDP
VN,www.robins.vn,/,Homepage
VN,www.robins.vn,excluded above,Listing
PH,beautymnl.com,/bloom/,Article
PH,beautymnl.com,/section/,Article
PH,beautymnl.com,/brands,Listing-brand
PH,beautymnl.com,/products,PDP
PH,beautymnl.com,/s/,Search
PH,beautymnl.com,/t/,Listing-category
HK,zh.zalora.com.hk,.html,PDP
HK,zh.zalora.com.hk,/,Homepage
HK,zh.zalora.com.hk,excluded above,Listing
VN,www.sendo.vn,/,Homepage
VN,www.sendo.vn,/shop/,Merchant
VN,www.sendo.vn,.html,PDP
VN,www.sendo.vn,excluded above,PLP
